Image,Letter,Center_x,Center_y,Distance_x,Distance_y
dataset\a1.jpg,C,571,821,66,94
dataset\a1.jpg,C,754,819,66,94
dataset\a1.jpg,C,931,822,66,94
dataset\a1.jpg,C,1110,822,66,94
dataset\a1.jpg,C,1305,822,66,94
dataset\a1.jpg,C,1463,817,66,94
dataset\a1.jpg,C,1587,818,66,94
dataset\a1.jpg,C,1719,810,66,94
dataset\a1.jpg,C,1846,809,66,94
dataset\a1.jpg,d,297,899,66,94
dataset\a1.jpg,d,422,905,67,94
dataset\a1.jpg,d,579,905,66,94
dataset\a1.jpg,d,766,909,66,94
dataset\a1.jpg,d,938,909,66,94
dataset\a1.jpg,d,1122,907,66,94
dataset\a1.jpg,d,1319,903,66,94
dataset\a1.jpg,d,1449,906,66,94
dataset\a1.jpg,d,1577,902,66,94
dataset\a1.jpg,d,1738,901,66,94
dataset\a1.jpg,d,1879,893,66,94
dataset\a1.jpg,D,289,986,66,94
dataset\a1.jpg,D,435,991,67,94
dataset\a1.jpg,D,581,995,66,94
dataset\a1.jpg,D,758,998,66,94
dataset\a1.jpg,D,923,1001,66,94
dataset\a1.jpg,D,922,995,66,94
dataset\a1.jpg,D,1121,994,66,94
dataset\a1.jpg,D,1326,994,66,94
dataset\a1.jpg,D,1462,995,66,94
dataset\a1.jpg,D,1589,989,66,94
dataset\a1.jpg,D,1738,990,66,94
dataset\a1.jpg,D,1901,986,66,94
dataset\a1.jpg,e,285,1074,66,94
dataset\a1.jpg,e,436,1074,62,87
dataset\a1.jpg,e,584,1075,63,87
dataset\a1.jpg,e,747,1082,63,87
dataset\a1.jpg,e,904,1087,63,87
dataset\a1.jpg,e,1105,1083,66,94
dataset\a1.jpg,e,1307,1085,66,94
dataset\a1.jpg,e,1445,1085,66,94
dataset\a1.jpg,e,1565,1081,66,94
dataset\a1.jpg,e,1730,1078,66,94
dataset\a1.jpg,e,1891,1081,66,94
dataset\a1.jpg,E,279,1165,71,100
dataset\a1.jpg,E,432,1165,71,100
dataset\a1.jpg,E,583,1171,72,100
dataset\a1.jpg,E,741,1173,72,100
dataset\a1.jpg,E,902,1173,72,100
dataset\a1.jpg,E,1108,1173,72,100
dataset\a1.jpg,E,1305,1173,72,100
dataset\a1.jpg,E,1442,1172,72,100
dataset\a1.jpg,E,1595,1171,72,100
dataset\a1.jpg,E,1731,1166,72,100
dataset\a1.jpg,f,279,1261,63,87
dataset\a1.jpg,f,433,1254,63,87
dataset\a1.jpg,f,591,1261,63,87
dataset\a1.jpg,f,739,1260,63,87
dataset\a1.jpg,f,905,1271,63,87
dataset\a1.jpg,f,1114,1274,63,87
dataset\a1.jpg,f,1319,1273,66,94
dataset\a1.jpg,f,1441,1270,66,94
dataset\a1.jpg,f,1595,1269,66,94
dataset\a1.jpg,f,1728,1269,72,100
dataset\a1.jpg,f,1901,1255,72,100
dataset\a1.jpg,F,289,1349,63,87
dataset\a1.jpg,F,427,1340,62,87
dataset\a1.jpg,F,587,1343,66,94
dataset\a1.jpg,F,747,1347,66,94
dataset\a1.jpg,F,931,1359,66,94
dataset\a1.jpg,F,1193,1345,66,94
dataset\a1.jpg,F,1331,1365,66,94
dataset\a1.jpg,F,1459,1359,66,94
dataset\a1.jpg,F,1626,1355,66,94
dataset\a1.jpg,F,1789,1347,66,94
dataset\a1.jpg,F,1923,1338,66,94
dataset\a1.jpg,g,283,1442,67,94
dataset\a1.jpg,g,433,1447,66,94
dataset\a1.jpg,g,589,1455,66,94
dataset\a1.jpg,g,747,1453,66,94
dataset\a1.jpg,g,935,1452,72,100
dataset\a1.jpg,g,1099,1451,72,100
dataset\a1.jpg,g,1311,1451,72,100
dataset\a1.jpg,g,1443,1453,72,100
dataset\a1.jpg,g,1616,1452,72,100
dataset\a1.jpg,g,1779,1445,72,100
dataset\a1.jpg,g,1915,1439,72,100
dataset\a1.jpg,G,337,1518,66,94
dataset\a1.jpg,G,510,1521,67,94
dataset\a1.jpg,G,669,1519,66,94
dataset\a1.jpg,G,833,1519,66,94
dataset\a1.jpg,G,1022,1522,66,94
dataset\a1.jpg,G,1181,1527,66,94
dataset\a1.jpg,G,1365,1523,66,94
dataset\a1.jpg,G,1519,1518,72,100
dataset\a1.jpg,G,1698,1519,72,100
dataset\a1.jpg,G,1845,1522,72,100
dataset\a1.jpg,G,1981,1531,72,100
dataset\a1.jpg,h,277,1606,62,87
dataset\a1.jpg,h,436,1606,62,87
dataset\a1.jpg,h,596,1605,63,87
dataset\a1.jpg,h,765,1606,63,87
dataset\a1.jpg,h,932,1611,63,87
dataset\a1.jpg,h,1112,1611,63,87
dataset\a1.jpg,h,1282,1602,66,94
dataset\a1.jpg,h,1433,1607,66,94
dataset\a1.jpg,h,1627,1606,66,94
dataset\a1.jpg,h,1774,1607,66,94
dataset\a1.jpg,h,1921,1607,66,94
dataset\a1.jpg,H,278,1691,67,94
dataset\a1.jpg,H,419,1695,67,94
dataset\a1.jpg,H,591,1697,66,94
dataset\a1.jpg,H,775,1694,66,94
dataset\a1.jpg,H,930,1698,66,94
dataset\a1.jpg,H,1106,1698,66,94
dataset\a1.jpg,H,1278,1698,66,94
dataset\a1.jpg,H,1425,1697,66,94
dataset\a1.jpg,H,1615,1695,66,94
dataset\a1.jpg,H,1763,1701,66,94
dataset\a1.jpg,H,1914,1703,66,94
dataset\a1.jpg,i,263,1779,63,87
dataset\a1.jpg,i,409,1779,63,87
dataset\a1.jpg,i,581,1781,63,87
dataset\a1.jpg,i,762,1784,63,87
dataset\a1.jpg,i,934,1781,63,87
dataset\a1.jpg,i,1087,1787,63,87
dataset\a1.jpg,i,1276,1787,63,87
dataset\a1.jpg,i,1421,1785,63,87
dataset\a1.jpg,i,1594,1787,63,87
dataset\a1.jpg,i,1729,1794,63,87
dataset\a1.jpg,i,1874,1792,63,87
dataset\a1.jpg,I,259,1871,67,94
dataset\a1.jpg,I,435,1865,67,94
dataset\a1.jpg,I,601,1870,66,94
dataset\a1.jpg,I,781,1871,66,94
dataset\a1.jpg,I,942,1874,66,94
dataset\a1.jpg,I,1089,1874,66,94
dataset\a1.jpg,I,1275,1882,66,94
dataset\a1.jpg,I,1426,1881,66,94
dataset\a1.jpg,I,1561,1878,66,94
dataset\a1.jpg,I,1695,1877,66,94
dataset\a1.jpg,I,1882,1886,66,94
dataset\a1.jpg,j,257,1971,66,94
dataset\a1.jpg,j,461,1971,66,94
dataset\a1.jpg,j,607,1967,66,94
dataset\a1.jpg,j,765,1967,66,94
dataset\a1.jpg,j,943,1969,66,94
dataset\a1.jpg,j,1105,1967,66,94
dataset\a1.jpg,j,1277,1973,66,94
dataset\a1.jpg,j,1399,1979,66,94
dataset\a1.jpg,j,1567,1974,66,94
dataset\a1.jpg,j,1727,1971,66,94
dataset\a1.jpg,j,1901,1985,66,94
dataset\a1.jpg,J,311,2042,67,94
dataset\a1.jpg,J,515,2049,67,94
dataset\a1.jpg,J,691,2039,66,94
dataset\a1.jpg,J,859,2038,66,94
dataset\a1.jpg,J,1022,2045,66,94
dataset\a1.jpg,J,1187,2047,66,94
dataset\a1.jpg,J,1345,2047,66,94
dataset\a1.jpg,J,1470,2045,66,94
dataset\a1.jpg,J,1630,2045,66,94
dataset\a1.jpg,J,1799,2054,66,94
dataset\a1.jpg,J,1950,2051,66,94
dataset\a1.jpg,k,265,2127,66,94
dataset\a1.jpg,k,470,2129,67,94
dataset\a1.jpg,k,662,2125,66,94
dataset\a1.jpg,k,853,2129,66,94
dataset\a1.jpg,k,1039,2135,66,94
dataset\a1.jpg,k,1374,2139,66,94
dataset\a1.jpg,k,1529,2143,66,94
dataset\a1.jpg,k,1693,2145,66,94
dataset\a1.jpg,k,1854,2146,66,94
dataset\a1.jpg,k,1989,2147,66,94
dataset\a1.jpg,K,255,2215,67,94
dataset\a1.jpg,K,459,2226,67,94
dataset\a1.jpg,K,654,2221,66,94
dataset\a1.jpg,K,843,2215,66,94
dataset\a1.jpg,K,1021,2219,66,94
dataset\a1.jpg,K,1131,2222,66,94
dataset\a1.jpg,K,1314,2227,66,94
dataset\a1.jpg,K,1467,2230,66,94
dataset\a1.jpg,K,1625,2229,66,94
dataset\a1.jpg,K,1773,2234,66,94
dataset\a1.jpg,K,1923,2239,66,94
dataset\a1.jpg,l,242,2313,67,94
dataset\a1.jpg,l,465,2302,66,94
dataset\a1.jpg,l,674,2310,66,94
dataset\a1.jpg,l,839,2302,66,94
dataset\a1.jpg,l,1030,2311,66,94
dataset\a1.jpg,l,1185,2314,66,94
dataset\a1.jpg,l,1313,2318,66,94
dataset\a1.jpg,l,1437,2315,66,94
dataset\a1.jpg,l,1607,2327,66,94
dataset\a1.jpg,l,1734,2318,66,94
dataset\a1.jpg,l,1889,2325,66,94
dataset\a1.jpg,L,250,2403,67,94
dataset\a1.jpg,L,469,2390,66,94
dataset\a1.jpg,L,666,2390,66,94
dataset\a1.jpg,L,853,2393,66,94
dataset\a1.jpg,L,1034,2397,66,94
dataset\a1.jpg,L,1382,2405,66,94
dataset\a1.jpg,L,1553,2406,66,94
dataset\a1.jpg,L,1671,2415,66,94
dataset\a1.jpg,L,1799,2413,66,94
dataset\a1.jpg,L,1938,2415,66,94
dataset\a1.jpg,m,251,2485,67,94
dataset\a1.jpg,m,452,2485,71,100
dataset\a1.jpg,m,658,2482,72,100
dataset\a1.jpg,m,845,2488,72,100
dataset\a1.jpg,m,1025,2486,72,100
dataset\a1.jpg,m,1378,2502,72,100
dataset\a1.jpg,m,1561,2502,72,100
dataset\a1.jpg,m,1701,2502,72,100
dataset\a1.jpg,m,1821,2505,72,100
dataset\a1.jpg,m,1966,2508,72,100
dataset\a1.jpg,M,242,2568,71,100
dataset\a1.jpg,M,444,2569,72,100
dataset\a1.jpg,M,649,2571,72,100
dataset\a1.jpg,M,843,2573,72,100
dataset\a1.jpg,M,1026,2579,72,100
dataset\a1.jpg,M,1173,2582,72,100
dataset\a1.jpg,M,1363,2598,77,108
dataset\a1.jpg,M,1543,2591,77,108
dataset\a1.jpg,M,1711,2594,83,117
dataset\a1.jpg,M,1821,2595,72,100
dataset\a1.jpg,M,1960,2609,91,127
dataset\a1.jpg,n,237,2665,62,87
dataset\a1.jpg,n,432,2665,62,87
dataset\a1.jpg,n,619,2675,63,87
dataset\a1.jpg,n,809,2661,63,87
dataset\a1.jpg,n,1012,2666,63,87
dataset\a1.jpg,n,1172,2666,63,87
dataset\a1.jpg,n,1359,2672,63,87
dataset\a1.jpg,n,1497,2676,63,87
dataset\a1.jpg,n,1637,2680,63,87
dataset\a1.jpg,n,1779,2686,63,87
dataset\a1.jpg,n,1925,2691,63,87
dataset\a1.jpg,N,238,2750,63,87
dataset\a1.jpg,N,426,2744,62,87
dataset\a1.jpg,N,624,2750,63,87
dataset\a1.jpg,N,802,2752,63,87
dataset\a1.jpg,N,994,2750,63,87
dataset\a1.jpg,N,1161,2755,63,87
dataset\a1.jpg,N,1339,2764,63,87
dataset\a1.jpg,N,1640,2762,63,87
dataset\a1.jpg,N,1757,2782,63,87
dataset\a1.jpg,N,1942,2774,63,87
dataset\a1.jpg,o,248,2837,63,87
dataset\a1.jpg,o,402,2837,62,87
dataset\a1.jpg,o,620,2837,63,87
dataset\a1.jpg,o,766,2839,63,87
dataset\a1.jpg,o,956,2840,63,87
dataset\a1.jpg,o,1136,2841,63,87
dataset\a1.jpg,o,1319,2850,63,87
dataset\a1.jpg,o,1466,2851,63,87
dataset\a1.jpg,o,1600,2850,63,87
dataset\a1.jpg,o,1760,2856,63,87
dataset\a1.jpg,o,1939,2862,63,87
dataset\a1.jpg,O,237,2917,62,87
dataset\a1.jpg,O,414,2921,67,94
dataset\a1.jpg,O,610,2923,66,94
dataset\a1.jpg,O,803,2922,66,94
dataset\a1.jpg,O,973,2927,66,94
dataset\a1.jpg,O,1147,2927,66,94
dataset\a1.jpg,O,1333,2935,72,100
dataset\a1.jpg,O,1469,2935,66,94
dataset\a1.jpg,O,1625,2934,66,94
dataset\a1.jpg,O,1761,2939,66,94
dataset\a1.jpg,O,1935,2953,66,94
dataset\a1.jpg,p,226,3019,67,94
dataset\a1.jpg,p,414,3018,67,94
dataset\a1.jpg,p,611,3023,66,94
dataset\a1.jpg,p,778,3026,66,94
dataset\a1.jpg,p,961,3026,72,100
dataset\a1.jpg,p,1151,3031,72,100
dataset\a1.jpg,p,1323,3041,72,100
dataset\a1.jpg,p,1452,3036,72,100
dataset\a1.jpg,p,1601,3041,72,100
dataset\a1.jpg,p,1815,3038,72,100
dataset\a1.jpg,p,1939,3046,72,100
dataset\a1.jpg,P,275,3092,71,100
dataset\a1.jpg,P,461,3099,72,100
dataset\a1.jpg,P,666,3093,72,100
dataset\a1.jpg,P,858,3109,72,100
dataset\a1.jpg,P,1052,3109,72,100
dataset\a1.jpg,P,1181,3118,72,100
dataset\a1.jpg,P,1381,3118,72,100
dataset\a1.jpg,P,1521,3123,72,100
dataset\a1.jpg,P,1678,3126,72,100
dataset\a1.jpg,P,1805,3142,72,100
dataset\a1.jpg,P,1961,3146,72,100
dataset\a2.jpg,q,259,379,67,93
dataset\a2.jpg,q,429,386,66,93
dataset\a2.jpg,q,566,390,66,93
dataset\a2.jpg,q,737,399,66,93
dataset\a2.jpg,q,882,405,66,94
dataset\a2.jpg,q,1042,411,66,93
dataset\a2.jpg,q,1205,415,66,93
dataset\a2.jpg,q,1372,420,72,100
dataset\a2.jpg,q,1555,404,72,100
dataset\a2.jpg,q,1708,398,72,100
dataset\a2.jpg,q,1855,391,72,100
dataset\a2.jpg,q,1966,391,72,100
dataset\a2.jpg,Q,319,458,67,93
dataset\a2.jpg,Q,486,463,67,93
dataset\a2.jpg,Q,653,475,66,93
dataset\a2.jpg,Q,797,481,66,94
dataset\a2.jpg,Q,963,486,66,93
dataset\a2.jpg,Q,1126,487,66,93
dataset\a2.jpg,Q,1310,493,66,94
dataset\a2.jpg,Q,1463,487,66,93
dataset\a2.jpg,Q,1621,483,66,93
dataset\a2.jpg,Q,1755,478,66,93
dataset\a2.jpg,Q,1893,485,72,100
dataset\a2.jpg,r,261,541,62,87
dataset\a2.jpg,r,393,547,63,87
dataset\a2.jpg,r,550,551,63,87
dataset\a2.jpg,r,724,565,63,87
dataset\a2.jpg,r,880,575,63,87
dataset\a2.jpg,r,1026,570,63,87
dataset\a2.jpg,r,1172,579,63,87
dataset\a2.jpg,r,1345,572,63,87
dataset\a2.jpg,r,1461,571,63,87
dataset\a2.jpg,r,1607,572,63,87
dataset\a2.jpg,r,1739,571,63,87
dataset\a2.jpg,r,1877,565,63,87
dataset\a2.jpg,R,273,631,63,87
dataset\a2.jpg,R,401,639,62,87
dataset\a2.jpg,R,556,642,63,87
dataset\a2.jpg,R,719,649,63,87
dataset\a2.jpg,R,857,652,63,87
dataset\a2.jpg,R,984,652,63,87
dataset\a2.jpg,R,1131,660,63,87
dataset\a2.jpg,R,1314,657,63,87
dataset\a2.jpg,R,1431,660,63,87
dataset\a2.jpg,R,1554,662,63,87
dataset\a2.jpg,R,1741,652,63,87
dataset\a2.jpg,R,1891,647,63,87
dataset\a2.jpg,s,267,726,62,87
dataset\a2.jpg,s,423,725,63,87
dataset\a2.jpg,s,564,727,63,87
dataset\a2.jpg,s,717,737,63,87
dataset\a2.jpg,s,859,746,63,87
dataset\a2.jpg,s,990,746,63,87
dataset\a2.jpg,s,1127,751,63,87
dataset\a2.jpg,s,1367,746,63,87
dataset\a2.jpg,s,1461,749,63,87
dataset\a2.jpg,s,1575,745,63,87
dataset\a2.jpg,s,1700,741,63,87
dataset\a2.jpg,s,1834,741,63,87
dataset\a2.jpg,s,1941,735,63,87
dataset\a2.jpg,S,269,811,63,87
dataset\a2.jpg,S,421,816,62,87
dataset\a2.jpg,S,560,821,63,87
dataset\a2.jpg,S,706,827,66,94
dataset\a2.jpg,S,859,829,66,94
dataset\a2.jpg,S,986,830,66,94
dataset\a2.jpg,S,1135,835,66,94
dataset\a2.jpg,S,1325,835,66,94
dataset\a2.jpg,S,1454,837,66,94
dataset\a2.jpg,S,1570,837,66,94
dataset\a2.jpg,S,1717,830,66,94
dataset\a2.jpg,S,1889,827,66,94
dataset\a2.jpg,t,273,905,63,87
dataset\a2.jpg,t,424,905,63,87
dataset\a2.jpg,t,571,907,63,87
dataset\a2.jpg,t,722,911,63,87
dataset\a2.jpg,t,880,921,63,87
dataset\a2.jpg,t,997,926,66,94
dataset\a2.jpg,t,1159,923,66,94
dataset\a2.jpg,t,1349,925,66,94
dataset\a2.jpg,t,1478,925,66,94
dataset\a2.jpg,t,1602,926,66,94
dataset\a2.jpg,t,1734,927,66,94
dataset\a2.jpg,t,1898,917,66,94
dataset\a2.jpg,T,279,997,67,94
dataset\a2.jpg,T,437,998,66,94
dataset\a2.jpg,T,602,995,66,94
dataset\a2.jpg,T,853,1005,66,94
dataset\a2.jpg,T,979,1010,66,94
dataset\a2.jpg,T,1097,1015,66,94
dataset\a2.jpg,T,1330,1017,66,94
dataset\a2.jpg,T,1462,1015,66,94
dataset\a2.jpg,T,1609,1015,66,94
dataset\a2.jpg,T,1730,1017,66,94
dataset\a2.jpg,T,1875,1006,66,94
dataset\a2.jpg,u,282,1093,67,94
dataset\a2.jpg,u,454,1090,67,94
dataset\a2.jpg,u,621,1095,66,94
dataset\a2.jpg,u,751,1099,66,94
dataset\a2.jpg,u,894,1099,66,94
dataset\a2.jpg,u,1049,1105,66,94
dataset\a2.jpg,u,1205,1106,66,94
dataset\a2.jpg,u,1341,1110,66,94
dataset\a2.jpg,u,1490,1101,66,94
dataset\a2.jpg,u,1634,1102,66,94
dataset\a2.jpg,u,1754,1107,66,94
dataset\a2.jpg,u,1885,1101,66,94
dataset\a2.jpg,U,270,1178,67,94
dataset\a2.jpg,U,450,1178,67,94
dataset\a2.jpg,U,613,1183,66,94
dataset\a2.jpg,U,745,1187,66,94
dataset\a2.jpg,U,883,1187,66,94
dataset\a2.jpg,U,1010,1195,66,94
dataset\a2.jpg,U,1157,1193,66,94
dataset\a2.jpg,U,1329,1195,66,94
dataset\a2.jpg,U,1457,1191,66,94
dataset\a2.jpg,U,1598,1197,66,94
dataset\a2.jpg,U,1749,1190,66,94
dataset\a2.jpg,U,1874,1193,66,94
dataset\a2.jpg,v,268,1266,63,87
dataset\a2.jpg,v,436,1271,62,87
dataset\a2.jpg,v,610,1274,63,87
dataset\a2.jpg,v,781,1277,63,87
dataset\a2.jpg,v,899,1280,63,87
dataset\a2.jpg,v,1047,1281,63,87
dataset\a2.jpg,v,1177,1286,63,87
dataset\a2.jpg,v,1354,1286,66,94
dataset\a2.jpg,v,1495,1280,63,87
dataset\a2.jpg,v,1625,1284,63,87
dataset\a2.jpg,v,1764,1280,63,87
dataset\a2.jpg,v,1904,1280,63,87
dataset\a2.jpg,V,265,1358,66,94
dataset\a2.jpg,V,419,1362,67,94
dataset\a2.jpg,V,615,1362,66,94
dataset\a2.jpg,V,771,1365,66,94
dataset\a2.jpg,V,897,1370,66,94
dataset\a2.jpg,V,1029,1367,66,94
dataset\a2.jpg,V,1161,1367,66,94
dataset\a2.jpg,V,1351,1376,72,100
dataset\a2.jpg,V,1487,1362,66,94
dataset\a2.jpg,V,1617,1369,66,94
dataset\a2.jpg,V,1764,1376,77,108
dataset\a2.jpg,V,1907,1363,66,94
dataset\a2.jpg,w,265,1446,66,94
dataset\a2.jpg,w,434,1453,67,94
dataset\a2.jpg,w,622,1453,66,94
dataset\a2.jpg,w,779,1453,66,94
dataset\a2.jpg,w,897,1459,66,94
dataset\a2.jpg,w,1069,1462,72,100
dataset\a2.jpg,w,1198,1462,66,94
dataset\a2.jpg,w,1349,1461,66,94
dataset\a2.jpg,w,1477,1454,66,94
dataset\a2.jpg,w,1619,1457,66,94
dataset\a2.jpg,w,1756,1459,72,100
dataset\a2.jpg,w,1886,1461,72,100
dataset\a2.jpg,W,275,1542,71,100
dataset\a2.jpg,W,438,1555,76,108
dataset\a2.jpg,W,630,1545,77,108
dataset\a2.jpg,W,780,1547,77,108
dataset\a2.jpg,W,927,1556,77,108
dataset\a2.jpg,W,1067,1550,77,108
dataset\a2.jpg,W,1198,1555,77,108
dataset\a2.jpg,W,1344,1555,77,108
dataset\a2.jpg,W,1509,1550,77,108
dataset\a2.jpg,W,1675,1550,77,108
dataset\a2.jpg,W,1822,1554,83,117
dataset\a2.jpg,W,1949,1552,83,117
dataset\a2.jpg,x,263,1637,63,87
dataset\a2.jpg,x,436,1635,62,87
dataset\a2.jpg,x,622,1640,63,87
dataset\a2.jpg,x,790,1644,63,87
dataset\a2.jpg,x,949,1640,63,87
dataset\a2.jpg,x,1076,1642,63,87
dataset\a2.jpg,x,1175,1641,63,87
dataset\a2.jpg,x,1314,1639,63,87
dataset\a2.jpg,x,1450,1632,63,87
dataset\a2.jpg,x,1587,1636,63,87
dataset\a2.jpg,x,1725,1642,63,87
dataset\a2.jpg,x,1878,1642,66,94
dataset\a2.jpg,X,259,1718,67,94
dataset\a2.jpg,X,437,1725,66,94
dataset\a2.jpg,X,622,1730,66,94
dataset\a2.jpg,X,790,1731,66,94
dataset\a2.jpg,X,943,1727,66,94
dataset\a2.jpg,X,1102,1721,66,94
dataset\a2.jpg,X,1205,1727,66,94
dataset\a2.jpg,X,1355,1731,66,94
dataset\a2.jpg,X,1469,1731,66,94
dataset\a2.jpg,X,1579,1730,66,94
dataset\a2.jpg,X,1738,1733,66,94
dataset\a2.jpg,X,1818,1726,66,94
dataset\a2.jpg,X,1898,1729,66,94
dataset\a2.jpg,y,259,1837,67,94
dataset\a2.jpg,y,421,1834,66,94
dataset\a2.jpg,y,614,1831,66,94
dataset\a2.jpg,y,786,1835,66,94
dataset\a2.jpg,y,958,1834,66,94
dataset\a2.jpg,y,1089,1835,66,94
dataset\a2.jpg,y,1205,1833,66,94
dataset\a2.jpg,y,1353,1839,66,94
dataset\a2.jpg,y,1479,1834,66,94
dataset\a2.jpg,y,1607,1834,66,94
dataset\a2.jpg,y,1739,1830,66,94
dataset\a2.jpg,y,1859,1835,66,94
dataset\a2.jpg,Y,262,1911,67,94
dataset\a2.jpg,Y,367,1910,67,94
dataset\a2.jpg,Y,527,1917,67,94
dataset\a2.jpg,Y,690,1911,66,94
dataset\a2.jpg,Y,863,1906,66,94
dataset\a2.jpg,Y,1041,1903,66,94
dataset\a2.jpg,Y,1159,1910,66,94
dataset\a2.jpg,Y,1335,1926,66,94
dataset\a2.jpg,Y,1453,1918,66,94
dataset\a2.jpg,Y,1574,1910,66,94
dataset\a2.jpg,Y,1698,1917,66,94
dataset\a2.jpg,Y,1822,1927,66,94
dataset\a2.jpg,Y,1927,1909,66,94
dataset\a2.jpg,z,258,2001,67,94
dataset\a2.jpg,z,394,2001,67,94
dataset\a2.jpg,z,538,1998,66,94
dataset\a2.jpg,z,689,1994,66,94
dataset\a2.jpg,z,873,1997,66,94
dataset\a2.jpg,z,1038,1997,66,94
dataset\a2.jpg,z,1179,1995,66,94
dataset\a2.jpg,z,1314,1999,66,94
dataset\a2.jpg,z,1437,1994,66,94
dataset\a2.jpg,z,1586,1990,66,94
dataset\a2.jpg,z,1693,1989,66,94
dataset\a2.jpg,z,1802,2001,66,94
dataset\a2.jpg,z,1903,2001,66,94
dataset\a2.jpg,Z,266,2091,71,100
dataset\a2.jpg,Z,406,2088,71,100
dataset\a2.jpg,Z,576,2079,72,100
dataset\a2.jpg,Z,725,2079,72,100
dataset\a2.jpg,Z,873,2086,72,100
dataset\a2.jpg,Z,1019,2083,72,100
dataset\a2.jpg,Z,1169,2081,72,100
dataset\a2.jpg,Z,1345,2079,72,100
dataset\a2.jpg,Z,1462,2086,72,100
dataset\a2.jpg,Z,1599,2089,72,100
dataset\a2.jpg,Z,1722,2089,72,100
dataset\a2.jpg,Z,1855,2091,72,100
dataset\a3.jpg,A,674,113,63,87
dataset\a3.jpg,r,735,129,47,66
dataset\a3.jpg,t,780,110,47,66
dataset\a3.jpg,f,854,118,50,70
dataset\a3.jpg,c,906,114,35,48
dataset\a3.jpg,a,958,114,35,48
dataset\a3.jpg,l,991,100,42,58
dataset\a3.jpg,I,1118,88,56,77
dataset\a3.jpg,n,1165,112,40,56
dataset\a3.jpg,t,1197,91,40,56
dataset\a3.jpg,l,1254,79,40,56
dataset\a3.jpg,g,1318,103,40,56
dataset\a3.jpg,n,1393,95,40,56
dataset\a3.jpg,c,1423,100,40,56
dataset\a3.jpg,e,1457,92,40,56
dataset\a3.jpg,M,602,394,63,87
dataset\a3.jpg,o,645,406,29,41
dataset\a3.jpg,u,712,406,37,52
dataset\a3.jpg,e,772,401,37,52
dataset\a3.jpg,W,351,589,52,73
dataset\a3.jpg,h,397,595,36,50
dataset\a3.jpg,a,428,600,36,50
dataset\a3.jpg,t,462,587,42,58
dataset\a3.jpg,i,527,592,35,48
dataset\a3.jpg,s,559,601,35,48
dataset\a3.jpg,i,625,597,35,48
dataset\a3.jpg,n,661,598,35,48
dataset\a3.jpg,e,917,598,35,48
dataset\a3.jpg,c,885,598,35,48
dataset\a3.jpg,n,858,600,35,48
dataset\a3.jpg,e,832,594,35,48
dataset\a3.jpg,g,798,612,35,48
dataset\a3.jpg,S,422,696,42,58
dataset\a3.jpg,o,452,699,29,41
dataset\a3.jpg,m,483,701,36,50
dataset\a3.jpg,e,516,699,29,41
